year,month,upvotes,downvotes,total_votes
"2019","1","1402109","179606","1778979"
"2019","2","1330967","163161","1683463"
"2019","3","1429894","182802","1821195"
"2019","4","1338151","175380","1713160"
"2019","5","1335515","166262","1695683"
"2019","6","1209638","153324","1537648"
"2019","7","1312939","163040","1673640"
"2019","8","1259387","158747","1602957"
"2019","9","1207762","157969","1538418"
"2019","10","1299520","152687","1637403"
"2019","11","1274082","165993","1625225"
"2019","12","1180630","159516","1517657"
"2020","1","1310561","157275","1651848"
"2020","2","1239749","151580","1567243"
"2020","3","1268136","159522","1614822"
"2020","4","1423919","167310","1800702"
"2020","5","1464093","176666","1856177"
"2020","6","1389019","170276","1760686"
"2020","7","1346391","184446","1740815"
"2020","8","1238352","174893","1602575"
"2020","9","1236563","171799","1588404"
"2020","10","1279146","172620","1638769"
"2020","11","1216453","161741","1555577"
"2020","12","1204009","170424","1552071"
"2021","1","1258210","170877","1608026"
"2021","2","1207688","154463","1529467"
"2021","3","1327045","179114","1686413"
"2021","4","1220952","173605","1566017"
"2021","5","1188621","170511","1527431"
"2021","6","1178420","161578","1500816"
"2021","7","1133378","155647","1441686"
"2021","8","1130495","159759","1448203"
"2021","9","1124507","162783","1442271"
"2021","10","1118222","158627","1433004"
"2021","11","1117907","166868","1435915"
"2021","12","1048321","161927","1350757"
"2022","1","1130903","169062","1442240"
"2022","2","1045905","144843","1321097"
"2022","3","1088468","152695","1384809"
"2022","4","1011055","148316","1302019"
"2022","5","1039605","170910","1362314"
"2022","6","1022767","160998","1327474"
"2022","7","1004856","158027","1300377"
"2022","8","1041680","163720","1347895"
"2022","9","987522","159213","1279426"
"2022","10","969795","165674","1271669"
"2022","11","984560","162735","1280927"
"2022","12","892906","155717","1194061"
"2023","1","961901","155412","1252871"
"2023","2","870222","138627","1126726"
"2023","3","904204","143008","1169355"
"2023","4","720531","117320","939254"
"2023","5","745613","115415","961681"
"2023","6","690428","90431","855513"
"2023","7","667375","98339","842505"
"2023","8","683945","109894","882438"
"2023","9","625252","101832","803304"
"2023","10","638494","102964","820300"
"2023","11","630051","102423","807653"
"2023","12","534753","98854","702150"
"2024","1","607652","99872","776422"
"2024","2","581355","94367","744192"
"2024","3","583303","99289","758450"
"2024","4","556682","92169","720412"
"2024","5","552501","91041","712977"
"2024","6","478592","77880","611280"
"2024","7","484118","79041","618881"
"2024","8","452488","75241","581912"
"2024","9","426445","67505","542345"
"2024","10","420681","62512","532768"
"2024","11","370819","54157","464953"
"2024","12","327381","52849","416083"
"2025","1","363826","58852","459979"
"2025","2","325554","51910","411135"
"2025","3","307342","57224","400916"
"2025","4","245408","53482","330989"
"2025","5","213456","50656","296540"
"2025","6","176911","44664","250417"
"2025","7","170039","39205","233237"
"2025","8","146639","31967","197015"
"2025","9","159669","39512","218599"
"2025","10","166972","38668","224543"
"2025","11","139902","32694","188971"
"2025","12","119763","30292","165446"
"2026","1","118298","31695","164776"
"2026","2","53082","12661","71813"